athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
William JOHNSON,https://olympics.com/en/athletes/william-johnson,Male,196 cm,93 kg,United States,USA
Steve PODBORSKI,https://olympics.com/en/athletes/steve-podborski,Male,,,Canada,CAN
Todd BROOKER,https://olympics.com/en/athletes/todd-brooker,Male,,,Canada,CAN
Franz KLAMMER,https://olympics.com/en/athletes/franz-klammer,Male,183 cm,79 kg,Austria,AUT
Conradin CATHOMEN,https://olympics.com/en/athletes/conradin-cathomen,,,,,
Erwin RESCH,https://olympics.com/en/athletes/erwin-resch,Male,180 cm,78 kg,Austria,AUT
Herbert RENOTH,https://olympics.com/en/athletes/herbert-renoth,Male,183 cm,79 kg,West Germany,FRG
Klaus GATTERMANN,https://olympics.com/en/athletes/klaus-gattermann,Male,179 cm,80 kg,West Germany,FRG
Gary ATHANS,https://olympics.com/en/athletes/gary-athans,Male,,,Canada,CAN
Tomaz JEMC,https://olympics.com/en/athletes/tomaz-jemc,Male,181 cm,77 kg,Yugoslavia,YUG
Janez PLETERSEK,https://olympics.com/en/athletes/janez-pletersek,Male,173 cm,75 kg,Yugoslavia,YUG
Americo D. ASTETE,https://olympics.com/en/athletes/americo-d-astete,,,,,
Bruce Lindsay GRANT,https://olympics.com/en/athletes/bruce-lindsay-grant,Male,175 cm,76 kg,New Zealand,NZL
Alistair Samuel GUSS,https://olympics.com/en/athletes/alistair-samuel-guss,Male,182 cm,80 kg,Australia,AUS
Stig-Ivar STRAND,https://olympics.com/en/athletes/stig-ivar-strand,Male,175 cm,75 kg,Sweden,SWE
Tomaz CERKOVNIK,https://olympics.com/en/athletes/tomaz-cerkovnik,Male,184 cm,76 kg,Yugoslavia,YUG
Joze KURALT,https://olympics.com/en/athletes/joze-kuralt,Male,178 cm,78 kg,Yugoslavia,YUG
Michel CANAC,https://olympics.com/en/athletes/michel-canac,Male,167 cm,65 kg,France,FRA
Roberto GRIGIS,https://olympics.com/en/athletes/roberto-grigis,Male,186 cm,82 kg,Italy,ITA
Paolo DE CHIESA,https://olympics.com/en/athletes/paolo-de-chiesa,Male,177 cm,79 kg,Italy,ITA
Bengt Henrik FJÄLLBERG,https://olympics.com/en/athletes/bengt-henrik-fjallberg,Male,173 cm,74 kg,Sweden,SWE
Mariarosa QUARIO,https://olympics.com/en/athletes/mariarosa-quario,,,,,
Anja ZAVADLAV,https://olympics.com/en/athletes/anja-zavadlav,Female,169 cm,60 kg,Yugoslavia,YUG
Irina KOUROVA,https://olympics.com/en/athletes/irina-kourova,Female,163 cm,50 kg,Australia,AUS
Magdalena SAINT,https://olympics.com/en/athletes/magdalena-saint,Female,164 cm,55 kg,Argentina,ARG
Skadi WALTER,https://olympics.com/en/athletes/skadi-walter,Female,169 cm,63 kg,East Germany,GDR
Lilianna MORAWIEC,https://olympics.com/en/athletes/lilianna-morawiec,,,,,
Silvia BRUNNER,https://olympics.com/en/athletes/silvia-brunner,Female,168 cm,58 kg,Switzerland,SUI
Hiromi OZAWA,https://olympics.com/en/athletes/hiromi-ozawa,Female,161 cm,58 kg,Japan,JPN
Marzia PERETTI,https://olympics.com/en/athletes/marzia-peretti,Female,,,Italy,ITA
Annette KARLSSON,https://olympics.com/en/athletes/annette-karlsson,Female,172 cm,61 kg,Sweden,SWE
Sigrid SMUDA,https://olympics.com/en/athletes/sigrid-smuda,Female,170 cm,67 kg,West Germany,FRG
Yeun-Joo LEE,https://olympics.com/en/athletes/yeun-joo-lee,Female,155 cm,50 kg,Republic of Korea,KOR
Thea LIMBACH,https://olympics.com/en/athletes/thea-limbach,Female,172 cm,67 kg,Netherlands,NED
Gui-Feng CAO,https://olympics.com/en/athletes/gui-feng-cao,Male,160 cm,61 kg,People's Republic of China,CHN
Min MIAO,https://olympics.com/en/athletes/min-miao,Female,160 cm,51 kg,People's Republic of China,CHN
Seong-Youn CHOI,https://olympics.com/en/athletes/seong-youn-choi,Female,159 cm,57 kg,Republic of Korea,KOR
Dubravka VUKUSIC,https://olympics.com/en/athletes/dubravka-vukusic,,,,,
Adriana VISSER,https://olympics.com/en/athletes/adriana-visser,Female,167 cm,52 kg,Netherlands,NED
Alie BOORSMA,https://olympics.com/en/athletes/alie-boorsma,Female,179 cm,75 kg,Netherlands,NED
René SCHÖFISCH,https://olympics.com/en/athletes/rene-schofisch,Male,188 cm,86 kg,East Germany,GDR
Igor MALKOV,https://olympics.com/en/athletes/igor-malkov,Male,186 cm,82 kg,Soviet Union,URS
Andreas EHRIG,https://olympics.com/en/athletes/andreas-ehrig,Male,183 cm,75 kg,East Germany,GDR
Oleg BOZHYEV,https://olympics.com/en/athletes/oleg-bozhyev,Male,178 cm,70 kg,Republic of Moldova,MDA
Björn NYLAND,https://olympics.com/en/athletes/bjorn-nyland,Male,175 cm,70 kg,Norway,NOR
Werner JÄGER,https://olympics.com/en/athletes/werner-jager,Male,182 cm,82 kg,Austria,AUT
Hilbert VAN DER DUIM,https://olympics.com/en/athletes/hilbert-van-der-duim,Male,180 cm,75 kg,Netherlands,NED
Michael WOODS,https://olympics.com/en/athletes/michael-woods,Male,190 cm,101 kg,Australia,AUS
Fritz SCHALIJ,https://olympics.com/en/athletes/fritz-schalij,Male,185 cm,85 kg,Netherlands,NED
Tibor KOPACZ,https://olympics.com/en/athletes/tibor-kopacz,Male,,,Romania,ROU
Jan Gunnar JUNELL,https://olympics.com/en/athletes/jan-gunnar-junell,Male,186 cm,84 kg,Sweden,SWE
Heinz STEINBERGER,https://olympics.com/en/athletes/heinz-steinberger,Male,,,Austria,AUT
Mark MITCHELL,https://olympics.com/en/athletes/mark-mitchell,Male,185 cm,82 kg,United States,USA
Maurizio MARCHETTO,https://olympics.com/en/athletes/maurizio-marchetto,Male,169 cm,62 kg,Italy,ITA
Masahito SHINOHARA,https://olympics.com/en/athletes/masahito-shinohara,Male,169 cm,70 kg,Japan,JPN
Toshiaki IMAMURA,https://olympics.com/en/athletes/toshiaki-imamura,Male,174 cm,69 kg,Japan,JPN
Wolfgang SCHARF,https://olympics.com/en/athletes/wolfgang-scharf,Male,168 cm,65 kg,West Germany,FRG
Young-Ha LEE,https://olympics.com/en/athletes/young-ha-lee,Male,,,Republic of Korea,KOR
Andreas LEMCKE,https://olympics.com/en/athletes/andreas-lemcke,Male,182 cm,82 kg,West Germany,FRG
Jean-Noël FAGOT,https://olympics.com/en/athletes/jean-noel-fagot,Male,,,France,FRA
